"R17"	"R8"	"R2"	"R6"	"R3"	"R12"	"R15"	"R4"	"R13"	"R20"	"R1"	"R14"	"R19"	"R11"	"R5"	"R10"	"R18"	"R16"	"R9"	"R7"	"R53"	"R46"	"R47"	"R56"	"R59"	"R48"	"R50"	"R43"	"R49"	"R58"	"R42"	"R52"	"R44"	"R41"	"R57"	"R45"	"R51"	"R60"	"R55"	"R54"	"R22"	"R35"	"R34"	"R26"	"R31"	"R28"	"R27"	"R24"	"R21"	"R40"	"R36"	"R38"	"R33"	"R37"	"R29"	"R25"	"R32"	"R30"	"R23"	"R39"	"R73"	"R79"	"R80"	"R64"	"R78"	"R77"	"R68"	"R67"	"R65"	"R66"	"R62"	"R74"	"R61"	"R72"	"R75"	"R69"	"R63"	"R70"	"R71"	"R76"
"AMRA"	2	0	2	0	0	2	6	4	6	6	2	26	0	0	0	2	0	4	0	6	2	0	6	0	0	2	0	0	0	0	8	0	10	10	6	0	0	0	2	12	0	0	4	0	0	0	0	0	4	0	6	0	8	6	0	0	0	0	0	0	6	0	0	0	8	2	0	0	0	0	0	2	4	6	2	2	0	0	0	4
"AMRB"	8	0	0	4	10	0	3	4	4	35	4	79	2	10	4	0	7	4	0	4	6	4	0	0	9	1	0	2	2	0	24	4	8	5	4	0	2	2	12	12	0	4	11	4	0	0	0	2	6	0	8	6	6	16	0	2	4	0	7	2	18	0	0	0	4	2	0	14	4	6	0	6	9	22	2	4	6	3	0	22
"AMVA"	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	2	2	0	2	0	0	2	0	0	2	2	0	4	2	0	0	0	0	4	0	2	0	0	2	0	0	0	0	0	2	4	0	0	0	0	2	2	0	0	2	2	0	4	0	0	0	2	2	0	0
"ANA"	0	0	0	2	0	0	0	0	0	4	0	4	0	0	6	0	2	4	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2	4	0	0	0	0	4	2	0	0	4	0	0	0	4	0	0	0	4	0	2	2	0	0	0	2	0	0	2	0	0	0	0	2	0	4	0	0	0	2	0	4	0	2	0	0	0	8
"ANT2-DPRIME"	0	2	1	2	0	0	2	1	2	7	0	2	0	2	4	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	6	0	2	0	0	0	2	0	0	0	0	0	2	2	0	2	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	2	0	2	0	4	0	0	2	6
"ANT3-DPRIME"	25	60	173	76	10	4	23	263	54	3333	11	85	6	346	38	23	16	98	17	104	37	6	32	4	75	19	2	120	132	6	269	17	124	76	68	7	19	46	391	198	10	2	48	4	3	16	43	18	757	13	120	20	212	46	0	1	36	7	314	0	34	0	0	77	0	331	10	8	0	52	6	355	328	104	135	39	9	139	36	2080
"ANT4-PRIME"	7	0	15	14	0	0	10	4	3	119	6	3	0	15	14	1	5	6	2	1	6	0	0	0	3	2	0	0	2	0	22	0	0	4	6	0	2	8	8	8	2	0	9	0	0	0	0	0	26	0	10	0	5	25	0	0	0	0	4	2	13	0	0	3	5198	4	0	0	2	6	0	0	8	2	2	13	2	18	4	35
"ANT6"	131	9	105	163	10	0	116	53	71	1267	22	17	6	136	700	323	18	76	14	18	157	2	13	6	365	48	0	36	32	33	239	47	29	40	55	42	8	57	97	51	19	0	38	4	8	7	239	6	241	14	45	6	158	500	1	5	428	0	26	7	949	0	0	21	2	179	24	67	7	54	6	199	217	35	66	49	15	45	19	931
"ANT9"	116	0	42	19	7	0	43	0	62	269	18	6	5	16	366	124	45	72	22	2	216	2	5	4	274	8	2	2	3	32	58	32	8	20	16	20	4	8	15	88	6	2	11	7	5	8	149	8	7	4	8	11	94	523	0	5	323	0	6	4	464	0	0	1	6	31	6	76	6	12	1	59	9	47	7	13	5	6	50	177
"APH2-DPRIME"	113	0	68	30	2	0	45	2	30	119	16	4	2	16	292	116	15	30	2	4	101	2	2	0	262	38	0	8	8	10	18	28	6	30	28	15	0	16	18	43	10	4	35	4	2	8	74	2	20	9	23	8	80	419	0	0	71	6	2	6	460	0	0	2	6	8	10	39	8	11	4	21	6	37	6	22	14	5	14	42
"APH3-DPRIME"	207	36	259	55	1	0	74	136	16	946	4	66	2	183	480	208	27	73	4	21	506	7	11	6	441	62	2	40	48	20	228	54	52	64	46	22	7	26	252	44	2	9	37	6	3	2	160	8	678	98	119	12	145	605	0	4	137	6	123	2	658	0	0	61	29	131	0	54	13	12	4	149	185	45	64	29	8	82	26	931
"APH3-PRIME"	18	2	22	8	2	2	18	5	22	74	6	42	4	25	30	4	6	22	4	2	35	4	4	4	14	8	2	8	6	4	40	5	23	20	24	8	0	10	35	34	10	8	26	6	4	4	8	6	30	10	16	2	7	21	0	6	6	0	17	2	45	0	0	7	53	15	12	16	0	16	4	8	10	41	6	28	2	2	6	56
