"R17"	"R8"	"R2"	"R6"	"R3"	"R12"	"R15"	"R4"	"R13"	"R20"	"R1"	"R14"	"R19"	"R11"	"R5"	"R10"	"R18"	"R16"	"R9"	"R7"	"R53"	"R46"	"R47"	"R56"	"R59"	"R48"	"R50"	"R43"	"R49"	"R58"	"R42"	"R52"	"R44"	"R41"	"R57"	"R45"	"R51"	"R60"	"R55"	"R54"	"R22"	"R35"	"R34"	"R26"	"R31"	"R28"	"R27"	"R24"	"R21"	"R40"	"R36"	"R38"	"R33"	"R37"	"R29"	"R25"	"R32"	"R30"	"R23"	"R39"	"R73"	"R79"	"R80"	"R64"	"R78"	"R77"	"R68"	"R67"	"R65"	"R66"	"R62"	"R74"	"R61"	"R72"	"R75"	"R69"	"R63"	"R70"	"R71"	"R76"
"MEXG"	0	0	0	2	0	0	2	0	2	7	2	6	2	0	0	0	10	6	0	0	0	0	0	0	2	0	0	0	2	0	4	2	2	2	2	0	0	0	0	8	0	0	6	0	0	0	0	2	2	0	2	2	0	4	0	0	0	0	0	0	6	0	0	0	28	0	2	0	0	2	0	2	0	10	0	4	0	0	2	10
"MEXH"	0	0	2	4	2	0	4	0	0	16	0	10	0	2	0	2	6	2	0	2	0	0	0	0	6	0	2	0	2	0	6	0	8	4	0	0	0	0	0	6	0	0	2	0	0	2	0	2	2	2	0	2	0	2	0	0	0	0	2	2	2	0	0	0	90	0	0	0	0	0	0	4	4	2	0	10	0	0	0	8
"MEXI"	10	2	12	6	6	0	10	10	13	50	4	44	0	18	20	6	2	13	1	5	2	0	4	4	30	8	0	13	3	4	41	14	22	20	12	0	2	8	14	35	2	6	18	0	0	2	6	15	36	10	16	2	13	21	0	4	6	0	7	1	52	0	0	2	191	4	5	16	0	18	0	23	10	25	0	33	8	3	5	29
"MEXJ"	8	4	0	4	0	0	8	2	8	12	2	12	0	4	6	0	6	10	2	0	6	0	0	0	4	0	0	4	0	0	18	2	2	4	6	0	0	2	0	2	2	2	6	2	0	0	0	0	6	0	2	0	2	2	0	0	0	0	4	0	9	0	0	0	80	1	0	2	0	4	0	10	0	2	2	14	0	2	6	6
"MEXK"	10	21	12	30	2	0	16	26	12	97	8	115	1	78	18	4	14	44	4	52	0	0	13	0	17	6	2	51	27	8	69	6	97	37	27	8	6	2	31	83	4	10	16	2	0	6	7	10	99	4	30	8	15	20	0	2	6	1	128	7	16	0	0	10	190	24	2	4	2	8	6	42	117	58	16	42	6	18	22	219
"MEXL"	0	0	0	0	0	0	0	0	0	8	0	9	0	3	0	2	0	2	0	1	0	0	1	0	7	0	2	3	0	0	8	2	0	4	4	2	0	0	1	6	0	0	2	0	0	0	0	2	4	0	0	0	2	8	0	0	0	0	1	2	7	0	0	0	31	0	0	0	2	0	0	5	3	3	0	6	0	0	3	12
"MEXN"	6	4	5	8	6	0	14	15	20	66	8	60	2	21	6	4	10	16	2	11	2	4	6	2	14	15	2	18	5	2	41	2	21	30	36	2	3	8	8	29	4	6	24	4	2	0	6	4	10	6	24	0	12	30	0	2	2	2	8	10	22	0	0	4	225	2	6	4	0	5	0	17	19	39	0	30	6	2	5	39
"MEXQ"	5	6	4	6	4	0	13	15	16	56	4	93	6	13	18	4	24	16	0	4	2	4	2	0	14	4	0	11	6	2	46	0	24	32	22	0	2	4	8	25	8	6	14	2	2	8	6	2	17	8	12	8	12	18	0	0	6	0	17	6	33	0	0	0	354	16	0	8	4	22	2	14	10	28	6	34	2	10	8	55
"MEXR"	2	0	0	6	0	0	0	2	2	4	2	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	6	0	0	2	2	2	0	0	0	0	4	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	12	0	0	0	0	0	0	2	0	4	0	4	0	0	0	16
"MEXS|RequiresSNPConfirmation"	2	0	0	2	0	0	0	2	4	6	2	4	0	2	0	0	4	2	2	0	0	2	0	0	2	0	0	0	0	0	10	0	6	6	2	2	0	2	2	2	2	0	2	0	2	0	0	0	1	0	2	2	2	0	0	0	0	0	0	4	4	0	0	0	68	0	0	0	0	2	0	0	0	2	0	6	0	4	0	4
"MEXT"	0	14	2	6	0	1	0	0	2	14	0	2	0	28	1	0	0	2	0	1	0	0	0	0	5	0	0	2	4	0	17	0	0	27	0	1	0	0	22	3	0	2	3	0	2	2	9	0	126	2	9	0	4	1	0	0	0	0	3	0	0	0	0	4	2	5	0	2	0	0	0	4	3	0	3	0	0	10	5	37
"MEXT|RequiresSNPConfirmation"	2	6	2	0	2	0	2	0	0	7	4	4	0	6	4	2	2	2	6	2	4	0	0	0	0	4	0	2	0	0	6	0	2	2	6	0	0	0	2	9	0	0	2	0	0	0	2	0	10	0	4	2	2	6	0	0	0	2	0	4	4	0	0	0	79	2	2	0	0	2	0	0	2	2	0	4	4	0	2	6
"MEXV"	4	0	0	2	0	0	6	0	2	2	0	8	2	2	2	0	4	12	2	0	0	0	2	0	8	2	0	4	2	0	16	0	2	2	6	0	2	2	8	2	2	0	2	4	0	0	0	0	3	0	2	0	0	14	0	0	0	0	2	2	30	0	0	0	79	0	0	2	0	2	0	6	0	2	0	12	2	0	0	14
"MEXW"	0	7	9	12	6	0	8	17	7	77	6	58	2	34	23	0	5	25	3	14	0	4	17	0	14	5	0	31	18	3	35	8	21	21	8	4	4	2	6	28	4	4	7	2	0	0	4	4	32	3	21	3	4	30	0	0	3	0	12	4	29	0	0	7	166	13	0	4	0	9	2	24	52	34	4	24	4	7	2	84
"MEXX"	6	2	0	2	0	0	6	6	2	20	6	14	0	0	4	2	0	14	0	0	0	2	2	2	6	2	0	2	0	4	8	6	8	4	6	2	0	6	0	4	2	0	0	2	0	2	0	0	2	2	4	2	2	6	0	0	2	0	2	2	22	0	0	0	56	0	0	4	2	8	2	0	8	16	0	14	0	0	0	8
"MEXY"	2	6	10	15	2	0	10	5	4	51	4	37	8	13	12	0	6	6	0	1	4	0	2	4	8	4	2	8	9	0	31	2	17	21	4	5	0	6	6	24	2	8	12	0	0	2	2	2	20	6	14	4	2	10	0	2	0	0	5	0	26	0	0	1	150	6	2	2	8	4	0	11	21	16	12	12	4	2	2	48
"MEXZ|RequiresSNPConfirmation"	0	0	2	2	0	0	0	0	0	4	0	4	0	2	6	2	0	2	0	0	0	0	0	0	0	0	0	2	0	0	6	2	4	6	0	0	0	0	0	4	2	0	6	0	0	0	0	0	2	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	33	0	0	2	2	2	0	2	4	2	0	2	4	0	0	0
"MFPA"	0	0	0	0	0	0	2	0	0	10	2	0	0	0	4	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MGRA"	0	0	0	0	0	0	0	0	0	8	0	0	2	0	0	0	0	2	0	0	0	2	0	0	8	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	10	0	0	0	4	0	0	0	0	6	0	0	0	0	2	4
"MGT"	2	0	2	2	0	0	0	6	12	22	4	16	0	6	0	0	2	4	2	2	0	0	0	0	0	2	0	0	0	0	12	4	4	0	10	2	0	0	6	4	2	2	8	0	0	0	0	2	10	2	4	0	0	6	0	0	2	0	2	0	4	0	0	2	2	6	0	0	0	4	0	2	2	6	0	4	0	0	0	8
"MGTA"	20	22	4	10	2	2	26	6	12	86	0	18	2	17	14	12	0	12	2	2	125	0	2	0	26	55	0	2	7	100	24	9	12	6	25	8	2	4	12	20	8	0	8	0	0	0	10	2	23	244	10	2	2	40	0	2	3	0	2	2	61	0	0	4	401	4	0	10	3	14	2	12	8	20	6	22	2	0	4	33
"MIR"	0	0	2	0	0	0	0	0	4	2	0	2	0	4	2	0	0	6	2	0	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2	2	0	0	0	0	0	0	2	0	0	2	2	2	0	0	4	4	0	2	0	0	2	0
"MLS23S|RequiresSNPConfirmation"	9068	4967	4457	16493	3540	630	18290	3371	23833	55845	7826	4870	3003	21734	19436	7548	15892	33713	5170	3562	15706	2451	3582	2865	24294	6098	2001	8866	7942	6148	31027	6601	7691	22057	32264	3655	3112	8489	11047	26348	6897	4931	17259	3260	2018	4431	9166	5063	39560	4854	14596	4301	10190	22445	341	1260	5418	926	7216	5811	36336	15	33	2730	5795	10116	3366	10714	4616	17557	3104	18195	16809	23789	4529	25441	8063	7580	6824	65726
"MMCO"	2	0	0	0	2	0	0	2	0	6	2	6	0	4	0	0	2	6	0	0	0	0	0	0	0	0	0	2	2	0	10	2	6	8	6	0	0	0	0	0	0	0	4	2	0	2	0	2	0	0	6	0	2	8	0	0	2	2	2	0	0	0	0	0	4	0	0	0	0	2	4	2	2	4	0	12	2	0	0	0
"MMR"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MNTA"	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	2	0	4	0	0	0	0	2	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	24	0	0	0	0	2	0	2	0	0	0	4	0	0	2	0
"MNTH"	4	7	0	6	0	0	2	0	4	8	0	0	0	0	2	1	0	6	2	0	43	0	0	0	2	15	0	0	0	39	6	0	0	0	8	4	0	2	2	0	0	6	6	0	0	0	0	0	0	95	2	0	2	2	0	2	0	0	0	0	8	0	0	0	108	0	2	2	6	4	4	0	0	10	0	3	0	0	0	0
"MNTP"	0	2	0	1	0	0	0	0	0	10	0	0	0	0	0	2	0	2	0	0	10	0	0	0	1	5	1	6	2	15	1	2	0	0	4	1	0	2	0	4	0	0	2	0	0	2	0	0	1	66	0	2	2	3	0	0	0	0	0	0	3	0	0	0	51	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0
"MNTR"	3	1	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	2	0	0	14	0	0	0	3	1	0	0	0	11	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	40	2	0	0	0	1	0	0	0	0	0	7	0	0	0	67	0	0	3	3	2	0	0	0	2	0	0	0	0	0	0
"MOC"	0	0	0	0	2	0	6	0	2	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MODA"	1	9	3	2	2	0	3	2	6	17	2	6	0	5	0	2	2	6	8	2	43	0	4	0	3	19	0	4	0	29	2	0	4	11	2	5	0	4	4	0	6	0	2	2	0	0	2	0	8	70	3	0	2	9	0	0	0	0	9	2	18	0	0	0	66	3	0	2	0	3	0	7	3	8	0	6	0	2	0	16
"MODB"	7	1	0	2	0	0	9	4	2	4	0	6	0	4	10	3	0	4	0	2	35	0	2	0	15	14	0	0	2	16	8	0	1	4	6	2	0	0	2	4	0	0	2	2	0	0	0	2	8	80	0	0	4	5	0	0	4	0	2	0	17	0	0	2	92	2	0	0	2	0	0	2	2	7	0	8	0	0	3	6
"MODC"	6	17	2	2	6	0	13	0	14	35	2	7	1	12	10	5	10	12	0	2	62	2	2	2	13	14	0	2	2	42	29	14	10	6	21	3	2	2	4	32	2	0	12	2	4	0	8	4	4	165	24	5	2	14	0	0	9	0	4	6	65	0	0	2	168	5	4	3	12	4	0	2	0	12	4	22	8	4	6	17
"MOX"	2	2	0	8	2	0	0	4	6	2	2	3	0	6	16	0	8	8	2	0	4	0	0	0	4	0	0	6	2	0	8	2	10	4	8	0	0	8	2	6	4	2	2	0	0	0	2	2	6	0	4	1	0	26	0	0	0	0	2	2	70	0	0	0	2	0	0	4	0	4	0	2	0	2	2	10	2	0	4	6
"MPH"	0	0	0	0	0	0	0	0	6	8	0	0	2	2	2	0	4	6	0	0	0	0	0	0	0	0	0	2	2	2	2	2	0	4	2	0	0	2	0	6	2	0	4	0	0	0	4	4	2	0	2	0	0	2	0	0	0	0	0	4	6	0	0	0	0	2	0	0	2	0	0	0	2	4	0	4	2	2	0	2
"MPHA"	0	0	0	2	2	0	2	0	0	5	0	6	0	2	0	2	0	6	0	0	0	0	0	0	4	0	0	0	0	2	8	0	0	0	2	0	0	0	0	0	0	0	4	0	0	4	0	4	2	0	2	0	2	0	0	0	2	0	0	0	4	0	0	0	0	0	0	4	0	0	0	2	0	1	0	2	0	0	6	0
"MPHB"	0	5	0	4	0	0	2	13	10	9	0	0	0	7	2	0	0	2	0	0	17	0	0	2	2	0	0	0	4	16	3	0	0	2	1	1	0	6	5	10	2	0	0	0	0	0	0	0	11	60	1	0	5	1	0	0	2	0	0	0	2	0	0	0	23	7	2	3	0	3	0	2	4	2	2	0	0	0	4	19
"MPHC"	4	0	0	6	0	0	2	2	2	5	2	0	2	4	0	0	2	4	0	0	2	0	2	0	8	0	0	0	0	2	0	0	0	2	6	0	2	0	0	4	0	0	2	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	7	0	0	0	0	2	2	0	2	2	0	7	2	2	2	10	0	0	0	18
"MPHD"	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"MPHE"	4	6	19	2	2	0	4	28	0	624	0	2	0	2	2	0	0	6	0	0	0	0	1	2	8	0	0	6	2	0	11	0	0	4	2	0	0	0	1	12	0	0	0	0	2	0	3	0	37	0	0	2	1	20	0	0	15	0	2	0	16	0	0	7	0	3	0	2	0	0	0	2	0	0	0	2	0	4	6	27
"MPHG"	0	0	1	6	0	0	0	7	0	320	0	0	2	7	0	0	0	4	2	2	0	0	0	0	2	0	0	0	2	0	4	2	0	0	4	0	0	0	23	6	2	0	0	0	0	0	0	0	33	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	2	0	0	0	2	14	1	1	2	2	2	0	19	46
"MPHH"	2	0	6	0	2	0	4	1	2	6	0	6	0	2	10	2	2	2	0	2	0	0	0	0	16	0	2	0	0	0	9	0	0	0	4	0	0	0	4	4	0	2	2	2	0	0	0	2	8	0	0	0	6	2	0	0	4	0	0	0	28	0	0	0	2	4	0	2	0	4	4	6	6	4	0	4	2	0	2	9
"MPHI"	2	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	0	2	0	0	0	2	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	2	0	0	0	0	0	4	0	2	0	0
"MPHJ"	0	0	0	2	0	0	2	0	4	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	2	0	0	0	0	6	2	0	0	2	0	0	0	0	2	2	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	6
"MPHK"	0	0	0	2	0	0	0	0	2	2	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	0	0	8	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	43	0	0	0	0	2	0	0	0	0	0	4	2	6	0	4
"MPHM"	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
"MPHN"	2	0	0	6	0	1	2	0	0	9	0	0	0	2	0	0	4	5	0	0	4	0	0	0	2	0	0	4	0	1	2	0	3	2	1	0	0	2	1	1	0	0	8	0	0	2	2	0	0	0	0	2	0	0	0	0	0	0	2	2	4	0	0	0	0	3	0	0	0	8	2	6	4	0	0	0	2	0	2	9
"MPHO"	4	2	0	0	0	0	4	0	4	4	2	10	0	0	2	0	4	8	2	0	0	0	0	0	16	2	0	0	4	0	16	2	2	0	12	0	0	4	2	4	0	0	4	0	0	0	0	2	4	0	8	0	0	8	0	0	0	0	0	0	22	0	0	2	0	0	0	4	0	4	0	8	2	8	2	10	2	0	0	12
"MPRF"	8	6	2	16	0	0	32	6	26	51	4	10	0	18	18	2	12	20	4	2	0	2	4	2	22	4	0	14	6	4	28	8	4	20	24	4	0	20	2	28	8	6	24	2	2	8	2	4	31	2	4	4	8	16	0	0	0	0	6	6	40	0	0	0	60	14	8	14	0	32	6	18	16	28	0	18	4	4	10	36
"MPRFD|RequiresSNPConfirmation"	6	0	2	4	2	0	2	0	8	14	0	0	4	4	2	2	4	10	0	0	26	0	4	0	4	0	2	2	2	0	10	0	0	12	10	2	0	4	4	6	2	0	2	0	0	2	0	0	10	0	4	0	6	2	0	4	0	0	4	0	8	0	0	0	51	0	2	4	2	0	0	8	8	6	0	8	0	0	2	26
"MRDH"	0	0	0	0	2	0	4	0	6	4	2	4	0	0	4	0	2	6	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	2	4	0	0	2	0	0	0	0	0	8	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	2	2	0	0	0	0	2	4	2	2	0	0	0	6	4
"MREA"	0	0	6	0	0	0	6	0	4	4	4	2	0	6	2	0	2	4	0	2	0	0	0	0	0	0	2	2	0	0	2	0	0	4	8	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	2	0	0	0	0	2	0	2	0	0	0	0	2	2	2	0	0	0	0	6	2	2	2	4	0	2	4
"MSBA"	1	12	8	12	0	0	13	0	8	9	4	2	3	8	2	3	11	28	8	0	58	3	0	2	14	17	0	0	0	35	11	5	0	13	16	5	0	7	2	24	8	6	2	4	1	6	8	0	11	150	9	0	4	10	0	0	1	0	2	2	33	0	0	0	252	2	3	16	2	4	2	4	8	9	2	14	13	2	6	18
"MSI"	0	2	4	6	2	0	6	2	8	22	6	11	0	8	4	0	2	6	2	0	12	0	2	0	14	6	0	2	2	0	12	0	10	18	4	0	0	4	0	18	0	2	6	0	0	0	4	2	5	0	8	0	0	6	0	0	6	0	0	0	14	0	0	0	2	0	2	8	0	4	0	2	0	10	0	10	2	4	0	6
"MSRA"	16	2	2	8	2	0	20	2	4	14	2	0	0	5	12	0	2	10	0	2	2	0	2	0	8	0	2	6	0	0	8	0	2	8	10	0	0	6	2	2	0	0	10	2	0	2	8	2	2	0	0	2	4	6	2	0	2	0	4	0	4	0	0	0	0	4	0	12	0	0	4	4	0	6	0	6	4	0	2	14
"MSRC"	2	0	0	16	0	0	4	0	6	4	0	2	0	14	8	4	6	10	0	0	0	0	2	2	8	0	0	1	3	2	24	6	2	16	16	2	0	10	10	16	2	0	10	8	0	6	2	0	18	4	0	0	0	2	0	0	0	0	0	0	4	0	0	2	0	2	0	0	2	0	0	7	6	2	0	16	4	6	0	23
"MSRD"	31	1	10	26	1	0	21	2	39	134	0	1	1	18	21	43	7	23	0	5	4	2	0	0	29	5	0	5	5	2	16	4	2	6	15	14	2	14	14	25	2	0	2	5	0	2	29	0	18	0	2	17	4	33	0	0	0	0	1	4	28	0	0	2	0	13	8	1	5	8	4	31	11	19	4	19	7	11	3	54
"MSRE"	8	0	39	4	0	0	2	47	6	547	0	2	2	0	4	0	1	8	4	2	1	0	0	0	4	2	0	0	2	0	12	2	4	4	4	0	0	6	4	12	0	0	2	0	0	0	6	0	25	0	2	0	3	32	0	0	36	0	0	0	0	0	0	4	0	7	0	2	0	8	0	6	4	8	2	10	0	0	12	22
"MTRA"	4	0	0	2	0	0	0	0	2	4	0	2	0	4	2	0	0	4	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	0	0	0	2	0	2	0	0	4	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
"MTRAD"	0	4	0	3	2	2	0	2	0	26	0	6	0	0	2	0	4	4	2	0	0	0	0	0	6	0	0	0	2	2	14	2	6	0	3	0	1	0	0	0	0	0	8	0	0	0	4	0	0	1	0	0	2	6	0	0	0	0	0	0	2	0	0	1	0	2	0	2	0	2	0	4	5	10	0	0	0	0	4	2
"MTRC"	0	0	2	2	0	0	2	0	0	4	6	6	0	4	4	0	4	4	6	0	0	0	0	0	0	2	0	2	0	0	4	4	0	8	10	2	0	2	4	2	0	0	2	0	0	0	2	2	2	0	2	0	0	12	0	0	2	0	2	2	8	0	0	0	2	2	0	0	0	4	0	4	6	4	0	6	0	0	0	16
"MTRD"	10	2	4	6	0	0	6	0	2	30	4	9	2	6	12	8	4	18	0	0	2	0	2	0	8	6	2	3	6	2	18	6	5	10	6	4	0	1	6	7	2	4	10	0	0	2	12	4	9	4	2	6	10	6	0	0	4	0	5	10	6	0	0	0	6	0	0	2	4	6	2	8	3	12	1	14	2	0	0	28
"MTRE"	0	0	2	0	0	0	0	0	0	8	0	4	0	6	4	0	2	2	2	0	0	0	0	0	2	0	0	0	0	4	0	0	0	2	8	0	0	0	2	2	0	2	4	0	0	0	2	0	2	0	2	0	0	2	0	0	0	0	4	0	2	0	0	2	2	0	2	2	2	0	0	6	6	2	0	8	0	0	2	2
"MTRF"	0	0	0	0	0	0	2	0	2	10	0	0	2	6	2	0	0	8	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	10	0	0	2	2	4	2	0	2	0	0	2	2	0	6	2	0	2	2	0	0	0	0	0	4	0	0	0	0	0	0	2	2	0	0	3	3	0	0	2	0	8	0	0	2	8
"MTRR|RequiresSNPConfirmation"	0	0	0	0	0	0	0	0	2	4	2	0	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	6	2	0	0	4	2	2	0	0	0	0	0	2	0	2	0	2	0	0	0	0	0	2	0	2	4	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
"MUPA"	6	2	2	13	0	0	4	2	4	32	2	0	2	13	6	18	4	18	4	1	6	4	0	2	12	4	2	6	10	2	14	2	1	4	26	0	2	12	19	20	4	2	10	2	2	4	6	0	24	0	2	6	2	10	0	0	2	2	4	2	8	0	0	2	0	7	6	8	0	10	0	18	29	13	2	18	4	8	2	38
"MUPB"	6	2	0	23	0	0	14	8	12	32	2	0	0	10	8	0	6	16	2	2	2	4	6	2	10	6	0	2	0	0	10	4	0	10	10	0	0	4	20	18	6	2	16	2	4	6	2	2	16	2	6	6	8	6	0	0	2	2	0	4	20	0	0	0	0	4	2	6	2	6	2	8	4	22	2	12	8	0	4	22
"MURA|RequiresSNPConfirmation"	6	17	8	28	0	2	8	4	20	55	6	4	0	29	12	3	12	27	0	2	43	0	2	0	10	32	0	22	16	52	39	6	5	6	32	1	0	14	6	10	2	2	14	0	2	4	7	0	26	146	6	2	6	21	0	3	2	4	8	4	21	0	0	2	186	8	8	7	7	16	5	6	33	16	8	24	4	14	5	66
"MURG|RequiresSNPConfirmation"	4	2	0	10	4	0	4	0	20	4	8	0	0	0	4	0	2	12	6	0	4	2	2	4	0	0	2	4	0	0	0	6	0	10	6	0	0	12	2	36	14	0	6	4	2	4	0	2	2	0	4	0	0	0	0	0	2	0	2	2	6	0	0	0	0	0	0	54	4	12	0	20	4	26	2	18	10	0	4	10
"MUS"	2	0	0	2	0	0	0	0	2	12	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	4	0	4	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6
"MUXA"	8	0	0	6	0	0	6	4	2	20	6	18	2	2	6	0	2	10	2	2	2	0	0	0	8	8	0	0	2	0	8	0	9	2	10	4	0	0	0	10	0	4	8	0	2	2	2	3	13	4	6	0	4	3	0	0	5	0	0	0	4	0	0	0	84	5	2	4	4	10	0	8	1	4	0	12	2	2	1	5
"MUXB"	4	8	18	11	2	0	22	36	28	138	12	112	0	22	18	4	7	26	4	24	2	6	1	4	22	18	0	25	10	6	52	8	45	33	28	2	4	6	3	60	4	0	12	2	0	0	8	0	65	8	22	9	6	12	0	4	12	2	22	6	24	0	0	8	197	18	3	10	0	24	3	37	94	48	2	24	4	4	8	63
"MUXC"	0	2	8	2	2	0	2	11	10	72	2	66	0	13	19	0	10	22	0	5	6	0	7	2	10	10	2	5	2	2	34	2	21	19	16	8	2	4	7	24	1	0	17	0	0	0	5	0	26	1	10	8	6	6	0	0	0	0	22	2	18	0	0	2	166	8	0	6	2	14	1	12	17	29	0	16	0	2	3	21
"MVRC"	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	2	0	4	0	0	6	0	0	0	10	2	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	3	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"MYO"	4	0	0	2	0	0	6	0	4	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	2	2	0	0	2	0	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	2	2	4
"MYRA"	0	2	16	4	0	0	6	10	3	66	2	2	0	8	11	2	0	4	0	3	0	0	0	2	4	2	0	0	5	0	10	0	0	5	5	3	2	4	0	4	0	0	10	0	0	0	0	0	19	0	18	2	4	7	0	2	0	0	4	0	2	0	0	4	0	51	0	0	2	0	0	6	4	2	5	8	4	0	13	124
"MYX"	2	0	0	0	0	0	0	0	0	2	2	4	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	2	0	0	0	2	0	2
"NALC|RequiresSNPConfirmation"	0	0	0	0	0	0	2	0	0	2	4	2	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	0	6	0	0	2	0	0	0	0	0	2	4	0	2	6	0	0	0	2	0	0	0	2	0	0	0	43	0	0	0	0	2	0	4	0	2	0	4	0	0	2	6
"NALD|RequiresSNPConfirmation"	0	0	0	2	0	0	0	0	6	3	0	5	0	0	0	0	4	2	0	0	0	0	0	2	0	0	0	2	2	0	2	0	1	2	0	0	2	2	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	42	0	0	4	0	0	2	6	0	0	0	2	2	0	0	4
"NCCA"	6	0	0	9	2	0	8	2	12	20	0	10	0	2	12	6	6	12	0	0	2	0	0	2	18	4	0	2	4	4	21	6	9	4	10	6	2	6	2	25	0	0	8	2	0	4	12	4	11	2	14	3	8	28	0	0	4	0	6	4	32	0	0	0	2	0	0	8	4	14	0	10	6	14	2	22	6	2	4	11
